id,series,talks_list,website,series_info
78,"A (Hubble) Tension Headache workshop (Mar 2021)",[[talks]](/cosmotalks/talks?series=78),[[website]](https://sites.google.com/view/a-hubble-tension-headache/programme),""
54,AAS,[[talks]](/cosmotalks/talks?series=54),[[website]](https://aas.org/meetings),""
35,"All Things EFT",[[talks]](/cosmotalks/talks?series=35),[[website]](https://www.youtube.com/channel/UC1_KF6kdJFoDEcLgpcegwCQ/videos),"<a href=""https://inspirehep.net/seminars?sort=dateasc&size=25&page=1&start_date=all&series=All%20Things%20EFT%3A%20International%20Online%20Lecture"">slides on INSPIRE-HEP</a>, <a href=""https://sites.google.com/view/all-things-eft"">website</a>"
188,"Analytics, Inference, and Computation in Cosmology (2018 IHP program)",[[talks]](/cosmotalks/talks?series=188),[[website]](https://www.youtube.com/playlist?list=PL9kd4mpdvWcDoPE-pz2AXfKnfawRsdRbW),"<a href=""http://ilp.upmc.fr/CosmoMath18/programme.php"">program website</a>"
88,"APCTP Lectures",[[talks]](/cosmotalks/talks?series=88),[[website]](https://www.youtube.com/c/APCTP/videos),"<a href=""https://apctp.org"">apctp.org</a>"
153,"APS Division of Particles and Fields 2021 Meeting",[[talks]](/cosmotalks/talks?series=153),[[website]](https://indico.cern.ch/event/1034469/timetable/#all.detailed),""
202,ASIAA,[[talks]](/cosmotalks/talks?series=202),[[website]](https://www.youtube.com/@EPOASIAA/videos),"<a href=""https://www.asiaa.sinica.edu.tw/"">Academia Sinica Institute of Astronomy and Astrophysics</a>"
41,"Aspen Physics",[[talks]](/cosmotalks/talks?series=41),[[website]](https://www.youtube.com/@AspenPhysics/videos),"<a href=""https://www.aspenphys.org/physicists/index.html"">aspenphys.org</a>"
85,"ASU Theoretical Physics Colloquium",[[talks]](/cosmotalks/talks?series=85),[[website]](https://shovkovy.faculty.asu.edu/colloquium/schedule.html),"slides at website"
190,"Banff International Research Station",[[talks]](/cosmotalks/talks?series=190),[[website]](https://www.birs.ca/videos/#gsc.tab=0&gsc.q=cosmology),""
90,"BeyondPlanck Release Conference",[[talks]](/cosmotalks/talks?series=90),[[website]](https://conferences.beyondplanck.science/#/info/about),"slides at website"
82,"Brown University",[[talks]](/cosmotalks/talks?series=82),[[website]](https://www.youtube.com/channel/UCs8oFbNIGRxEjYX1VC520uw/videos),""
159,"Caltech Astro Seminars",[[talks]](/cosmotalks/talks?series=159),[[website]](https://www.youtube.com/channel/UC-zYBv_IqFp2f9huYQA1VSw/videos),""
103,"Caltech PMA",[[talks]](/cosmotalks/talks?series=103),[[website]](https://www.youtube.com/c/CaltechPMA/videos),""
176,"Carnegie Astronomy",[[talks]](/cosmotalks/talks?series=176),[[website]](https://www.youtube.com/@CarnegieAstronomy/videos),"<a href=""https://obs.carnegiescience.edu/observatories-events"">obs.carnegiescience.edu</a>"
